Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Hf-176/177;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Pb-206/204;Pb-207/204;Pb-208/204;Sm-147/Nd-14;Sr-87/86;Ra-226;U-238/235;V-51/50;Loss on Ignition;Comment
BR;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Al;As;B;Ba;Be;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;Hf;Ho;In;K;La;Li;Lu;Mn;Mo;Na;Nb;Nd;Ni;P;Pb;Pr;Rb;S;Sb;Sc;Sm;Sn;Sr;Ta;Tb;Th;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Loss on Ignition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR;Concentration;10.2;13.8;0.86;5.58;12.88;6.57;2.3;0.5;1.4;13.28;0.2;3.05;1.04;38.2;2.6;0.002576;0.1172325;0.0555389;0.1561045;0.01991616;0.0351;5.4;2;8;1050;1.5;9.87;0.15;151;350;52;380;0.8;72;6.4;2.5;3.7;1000;9;19;9.5;1.2;5.6;1.1;0.08;1.16;82;13;0.25;1550;2.4;2.26;98;65;260;4530;5;17;47;390;0.2;25;12.2;2;1320;6.2;1.25;11;0.05;0.3;2.5;235;1.3;30;1.8;160;260;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR;Uncertainty;0.12;0.1;0.05;0.15;0.15;0.1;0.13;0.08;0.04;0.13;0.007;0.08;0.02;0.29;0.05;;0.0049126;0.002776945;0.006031311;0.00124476;0.00216;0.06;0.04;;44;0.5;0.07;;4;;3;19;0.15;6;0.2;0.1;0.2;120;0.1;2;0.6;;0.2;0.13;;0.03;1.5;1.3;0.03;54;0.3;0.06;6;2;12;90;2.5;0.6;3;;0.05;1.8;0.3;0.3;51;0.7;0.1;1;;0.04;0.3;12;0.1;1.5;0.2;10;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR;Units;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR;N;44;47;20;24;47;25;20;20;46;45;42;39;29;45;43;8;67;82;94;61;54;44;8;8;67;13;47;7;30;12;63;82;11;68;9;6;19;20;47;27;15;;9;;;46;28;34;12;42;9;39;20;21;84;29;43;;82;11;8;18;20;18;94;8;;20;5;;14;55;5;35;22;61;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BR;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BX-N;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;BaO;Cr2O3;SrO;ZnO;ZrO2;Al;As;Ba;Be;Bi;Ca;Ce;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;Hf;Ho;In;K;La;Li;Lu;Mn;Mo;Na;Nb;Nd;Ni;P;Pb;Pr;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Tb;Th;Tm;U;V;W;Y;Yb;Zn;Zr;Loss on Ignition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BX-N;Concentration;54.21;0.17;0.44;22.88;23.17;0.26;11.48;0.44;0.05;0.11;0.05;0.04;0.13;7.40;2.37;0.0033495;0.0409234;0.01300871;0.00995808;0.07425;28.68;115;30;5.5;1.7;1220;520;30;280;0.4;18;18.5;11;4.4;900;16.2;67;20;1.1;15.2;4.1;0.3;420;355;39;1.8;390;8.3;300;52;163;180;570;135;54;3.6;8;60;22;13.4;110;4.6;3;50;1.7;8.8;350;9;114;11.6;80;550;12.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BX-N;Uncertainty;0.40;0.05;0.19;0.60;0.28;0.13;0.15;0.07;0.01;0.03;0.009;0.02;0.03;0.15;0.09;0.00100485;0.004530805;0.001064349;0.00186714;0.00594;0.21;6;9;0.6;;360;23;7;31;;2;1.4;1;0.3;;0.2;14;1.6;;1.1;0.5;;80;18;9;0.18;70;0.7;150;4;7;16;130;13;3.5;0.6;;7;1.3;1.1;9;0.4;0.3;6;0.2;1.5;44;1;14;1.5;15;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BX-N;Units;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BX-N;N;34;34;6;11;36;11;9;7;28;29;20;24;18;37;29;11;22;17;25;16;34;10;11;7;;34;13;21;22;;17;;;10;6;36;7;5;;7;;;28;12;7;5;20;5;24;6;7;21;18;19;;9;9;9;8;6;17;6;5;11;;10;12;;9;8;25;16;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BX-N;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Provisional value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR-N;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Al;As;B;Ba;Be;Bi;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;Hf;Ho;In;K;La;Li;Lu;Mn;Mo;Na;Nb;Nd;Ni;P;Pb;Pr;Rb;S;Sb;Sc;Sm;Sn;Sr;Ta;Tb;Th;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Loss on Ignition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR-N;Concentration;17.52;7.05;0.1;3.7;9.7;5.4;2.22;0.25;1.7;4.4;0.22;2.99;0.25;52.85;1.09;0.004508;0.04298525;0.0058462;0.0473044;0.01804902;0.016875;9.27;3;14;385;1.8;0.5;5.04;0.9;46;400;35;40;6.3;50;4.6;2.5;1.45;500;6.78;22;4.7;1.9;3.5;1;0.08;1.41;21.5;40;0.4;1700;0.9;2.22;7;23.5;15;1100;55;5.7;73;350;0.4;28;5.4;2;400;0.6;0.77;5;0.7;0.39;1.5;220;130;26;2.5;145;125;2.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR-N;Uncertainty;0.14;0.06;0.04;0.16;0.07;0.1;0.09;0.05;0.03;0.07;0.006;0.06;0.02;0.19;0.02;0.001932;0.0006699;0.000438465;0.001537393;0.00062238;0.001215;0.07;0.4;6;6;0.2;;0.04;;3;55;2.3;3;0.6;2.2;0.4;0.25;0.1;70;0.05;2.3;0.5;;0.3;0.1;;0.02;1.5;4.3;0.06;46;0.2;0.04;2;1;3;90;4;0.44;2.2;;0.13;1.6;0.28;0.3;13;0.11;0.14;0.4;;0.1;0.3;11;15;3;0.3;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR-N;Units;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR-N;N;60;70;7;27;64;26;17;18;58;65;47;47;36;59;59;6;44;48;57;47;29;60;12;6;44;11;;70;6;12;10;45;48;14;43;6;;15;14;64;15;13;;7;;;58;20;21;12;47;;47;10;17;51;36;30;5;50;5;8;15;16;;57;9;9;15;;;13;34;;21;17;47;29;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR-N;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT-N;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;K2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;BaO;Cr2O3;SrO;ZnO;ZrO2;Al;As;Ba;Be;Bi;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;Hf;Ho;In;K;La;Li;Lu;Mn;Mo;Na;Nb;Nd;Ni;P;Pb;Pr;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Tb;Th;Tm;U;V;W;Y;Yb;Zn;Zr;Loss on Ignition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT-N;Concentration;59.5;0.04;0.62;0.55;0.66;0.1;0.9;0.15;0.12;0.04;0.008;0.04;0.09;36.45;1.4;0.0145145;0.0380003;0.00354783;0.003485328;0.04995;31.32;0.2;130;0.3;0.06;290;0.1;134;30;15;260;0.13;7;2.4;0.75;1.45;40;4600;30;5.5;4.9;10;0.33;0.01;1000;90;26;0.14;60;0.5;300;34;52;14;390;25;15.5;6;0.25;2.1;8.4;2.2;30;2.7;0.6;12;0.1;2.3;150;120;6.6;0.7;28;370;1.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT-N;Uncertainty;0.22;0.02;0.04;0.09;0.06;0.05;0.23;0.05;0.01;0.02;0.002;0.02;0.02;0.26;0.04;0.002233;0.00233848;0.000709566;0.000871332;0.004725;0.12;;20;;;140;;10;;2.5;16;0.04;1.9;0.2;0.12;0.09;;400;;0.6;;0.5;0.04;;80;7;;0.02;15;0.2;150;4;4.5;4;90;5;0.8;1.5;;0.23;0.34;0.3;6;0.32;0.14;3;0.02;0.43;23;11;0.5;0.06;7;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT-N;Units;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT-N;N;37;31;2;12;33;11;10;7;30;31;13;22;18;34;32;14;18;15;19;15;37;;14;;;31;;11;;18;18;5;14;;;7;5;33;7;6;;7;;;30;9;;;13;;22;;10;15;18;15;;10;8;6;8;;15;6;5;10;;9;8;;7;7;19;15;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT-N;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Provisional value;Provisional value;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Provisional value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTS-1;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;H2O-T;K2O;MgO;MnO;Na2O;P2O5;SiO2;Oxide Sum;B2O3;BaO;Cr2O3;NiO;SrO;ZnO;ZrO2;Ag;Al;As;Au;Ba;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Ra-226;;;;;;;;;;;;;;;;;;;;
DTS-1;Concentration;0.189;0.17;0.08;1.03;8.68;6.97;0.44;0.06;0.48;0.001;49.59;0.12;0.015;0.002;40.41;99.95;0.000161;0.000189805;0.58;0.3;3.78435E-05;0.005725896;0.00054;0.013;1000;0.034;0.00092;0.5;1.7;0.004;0.0062;0.11;220;1200;0.01;0.072;10.5;137;3990;0.0058;7.1;0.0034;0.0039;0.0012;13;6.07;0.5;0.0038;0.88;0.015;0.007;0.0013;0.12;0.0024;0.00069;8;0.029;2.1;0.0024;29.9;940;0.14;20;110;2.2;0.029;2360;43.8;0.0009;9;12;0.003;0.0063;0.0031;0.058;0.0095;0.00083;0.0025;12;0.5;3.5;0.0057;18.87;0.0046;0.55;0.32;0.039;0.0008;0.003;0.01;30;0.002;0.0014;0.0036;11;0.021;0.04;0.01;46;4;1.3;;;;;;;;;;;;;;;;;;;;
DTS-1;Uncertainty;0.057;0.03;0.01;0.36;0.24;0.26;0.1;0.03;0.09;0.0001;0.33;0.01;0.011;0.0016;0.47;0.74;;0.00013398;0.04;0.02;7.09566E-06;0.001120284;0.00027;0.006;300;0.006;0.00023;;1.2;;0.0019;0.08;80;200;0.005;0.019;1.4;15;300;0.0011;2.6;;;0.0004;3;0.17;0.3;;0.08;0.014;0.004;0.001;;0.0003;0.00024;1;0.006;0.12;0.0006;0.2;40;0.09;2;80;1.1;0.004;170;0.2;0.0004;7;3;0.002;0.0004;0.0017;0.008;;0.00004;;4;0.11;0.3;;0.22;0.001;0.16;0.06;;0.0001;;0.001;20;;0.0003;0.0004;3;0.007;0.01;0.004;9;2;;;;;;;;;;;;;;;;;;;;;
DTS-1;Units;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;pCi/g;;;;;;;;;;;;;;;;;;;;
DTS-1;N;75;74;19;32;100;46;28;26;22;28;77;108;55;32;88;;3;28;77;84;16;61;8;18;75;4;22;3;28;7;9;3;19;74;11;13;14;82;77;8;64;2;2;12;9;100;12;2;8;7;22;4;3;7;17;28;13;15;12;77;108;12;6;55;7;7;84;10;3;32;51;9;3;10;14;2;3;1;5;21;31;2;88;13;14;16;2;6;1;5;60;7;3;15;42;3;3;13;61;8;1;;;;;;;;;;;;;;;;;;;;
DTS-1;Data Quality;Provisional value;Provisional value;Not provided by compiler;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Not provided by compiler;Certified value equivalent;Recommended value;Provisional value;Provisional value;Recommended value;Not provided by compiler;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Certified value equivalent;Certified value equivalent;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;;;;;;;;;;;;;;;;;;;;
